  x  || f4(x) | f3(x) | f2(x) | f1(x)
-----++-------+-------+-------+-------
 127 ||  119  |  111  |   95  |   63
 126 ||  118  |  110  |   94  |   62
 125 ||  117  |  109  |   93  |   62
 124 ||  116  |  108  |   92  |   61
 123 ||  115  |  107  |   92  |   61
 122 ||  114  |  106  |   91  |   60
 121 ||  113  |  105  |   90  |   60
 120 ||  112  |  104  |   89  |   59
 119 ||  111  |  104  |   89  |   59
 118 ||  110  |  103  |   88  |   58
 117 ||  109  |  102  |   87  |   58
 116 ||  108  |  101  |   86  |   57
 115 ||  107  |  100  |   86  |   57
 114 ||  106  |   99  |   85  |   56
 113 ||  105  |   98  |   84  |   56
 112 ||  104  |   97  |   83  |   55
 111 ||  104  |   97  |   83  |   55
 110 ||  103  |   96  |   82  |   54
 109 ||  102  |   95  |   81  |   54
 108 ||  101  |   94  |   80  |   53
 107 ||  100  |   93  |   80  |   53
 106 ||   99  |   92  |   79  |   52
 105 ||   98  |   91  |   78  |   52
 104 ||   97  |   90  |   77  |   51
 103 ||   96  |   90  |   77  |   51
 102 ||   95  |   89  |   76  |   50
 101 ||   94  |   88  |   75  |   50
 100 ||   93  |   87  |   74  |   49
  99 ||   92  |   86  |   74  |   49
  98 ||   91  |   85  |   73  |   48
  97 ||   90  |   84  |   72  |   48
  96 ||   89  |   83  |   71  |   47
  95 ||   89  |   83  |   71  |   47
  94 ||   88  |   82  |   70  |   46
  93 ||   87  |   81  |   69  |   46
  92 ||   86  |   80  |   68  |   45
  91 ||   85  |   79  |   68  |   45
  90 ||   84  |   78  |   67  |   44
  89 ||   83  |   77  |   66  |   44
  88 ||   82  |   76  |   65  |   43
  87 ||   81  |   76  |   65  |   43
  86 ||   80  |   75  |   64  |   42
  85 ||   79  |   74  |   63  |   42
  84 ||   78  |   73  |   62  |   41
  83 ||   77  |   72  |   62  |   41
  82 ||   76  |   71  |   61  |   40
  81 ||   75  |   70  |   60  |   40
  80 ||   74  |   69  |   59  |   39
  79 ||   74  |   69  |   59  |   39
  78 ||   73  |   68  |   58  |   38
  77 ||   72  |   67  |   57  |   38
  76 ||   71  |   66  |   56  |   37
  75 ||   70  |   65  |   56  |   37
  74 ||   69  |   64  |   55  |   36
  73 ||   68  |   63  |   54  |   36
  72 ||   67  |   62  |   53  |   35
  71 ||   66  |   62  |   53  |   35
  70 ||   65  |   61  |   52  |   34
  69 ||   64  |   60  |   51  |   34
  68 ||   63  |   59  |   50  |   33
  67 ||   62  |   58  |   50  |   33
  66 ||   61  |   57  |   49  |   32
  65 ||   60  |   56  |   48  |   32
  64 ||   59  |   55  |   47  |   31
  63 ||   59  |   55  |   47  |   31
  62 ||   58  |   54  |   46  |   30
  61 ||   57  |   53  |   45  |   30
  60 ||   56  |   52  |   44  |   29
  59 ||   55  |   51  |   44  |   29
  58 ||   54  |   50  |   43  |   28
  57 ||   53  |   49  |   42  |   28
  56 ||   52  |   48  |   41  |   27
  55 ||   51  |   48  |   41  |   27
  54 ||   50  |   47  |   40  |   26
  53 ||   49  |   46  |   39  |   26
  52 ||   48  |   45  |   38  |   25
  51 ||   47  |   44  |   38  |   25
  50 ||   46  |   43  |   37  |   24
  49 ||   45  |   42  |   36  |   24
  48 ||   44  |   41  |   35  |   23
  47 ||   44  |   41  |   35  |   23
  46 ||   43  |   40  |   34  |   22
  45 ||   42  |   39  |   33  |   22
  44 ||   41  |   38  |   32  |   21
  43 ||   40  |   37  |   32  |   21
  42 ||   39  |   36  |   31  |   20
  41 ||   38  |   35  |   30  |   20
  40 ||   37  |   34  |   29  |   19
  39 ||   36  |   34  |   29  |   19
  38 ||   35  |   33  |   28  |   18
  37 ||   34  |   32  |   27  |   18
  36 ||   33  |   31  |   26  |   17
  35 ||   32  |   30  |   26  |   17
  34 ||   31  |   29  |   25  |   16
  33 ||   30  |   28  |   24  |   16
  32 ||   29  |   27  |   23  |   15
  31 ||   29  |   27  |   23  |   15
  30 ||   28  |   26  |   22  |   14
  29 ||   27  |   25  |   21  |   14
  28 ||   26  |   24  |   20  |   13
  27 ||   25  |   23  |   20  |   13
  26 ||   24  |   22  |   19  |   12
  25 ||   23  |   21  |   18  |   12
  24 ||   22  |   20  |   17  |   11
  23 ||   21  |   20  |   17  |   11
  22 ||   20  |   19  |   16  |   10
  21 ||   19  |   18  |   15  |   10
  20 ||   18  |   17  |   14  |    9
  19 ||   17  |   16  |   14  |    9
  18 ||   16  |   15  |   13  |    8
  17 ||   15  |   14  |   12  |    8
  16 ||   14  |   13  |   11  |    7
  15 ||   14  |   13  |   11  |    7
  14 ||   13  |   12  |   10  |    6
  13 ||   12  |   11  |    9  |    6
  12 ||   11  |   10  |    8  |    5
  11 ||   10  |   9   |    8  |    5
  10 ||    9  |   8   |    7  |    4
   9 ||    8  |   7   |    6  |    4
   8 ||    7  |   6   |    5  |    3
   7 ||    6  |   6   |    5  |    3
   6 ||    5  |   5   |    4  |    2
   5 ||    4  |   4   |    3  |    2
   4 ||    3  |   3   |    2  |    1
   3 ||    2  |   2   |    2  |    1
   2 ||    1  |   1   |    1  |    0
   1 ||    0  |   0   |    0  |    0
